app_name,volume_mn,value_cr,month,year
Union Bank Apps,0.43,178.53,11,2021
WhatsApp,2.11,149.38,11,2021
Yes Bank Apps,24.34,6171.08,11,2021
YuvaPay,0.04,66.62,11,2021
AU Small Finance Bank App,0.21,76.22,12,2021
Airtel Payments Bank Apps,15.12,5732.09,12,2021
Allahabad Bank App,0.02,7.43,12,2021
Amazon Pay,76.18,6641.62,12,2021
Axis Bank Apps,59.85,957.37,12,2021
BHIM,27.12,8831.67,12,2021
Bajaj Finserv,0.13,7.08,12,2021
Bank of Baroda Apps,0.75,333.91,12,2021
Bank of India App,0.04,17.26,12,2021
Bank of Maharashtra App,0.05,11.52,12,2021
Canara Bank App,0.25,90.72,12,2021
Central Bank of India App,0.13,46.47,12,2021
Citi Bank App,0.09,76.94,12,2021
City Union Bank App,0.01,4.61,12,2021
Cointab,0.94,144.16,12,2021
Cred,10.36,13817.16,12,2021
DBS Digibank App,0.55,190.75,12,2021
Dena Bank App,0.02,26.08,12,2021
Deutsche Bank App,0.85,86.2,12,2021
Dhanlaxmi Bank App,0.01,3.07,12,2021
Federal Bank App,0.48,99.96,12,2021
Fino Payments Bank App,0.03,2.09,12,2021
Finshell Pay,0.06,2.92,12,2021
Google Pay,1587.43,302989.79,12,2021
HDFC Bank Apps,4.96,1250.74,12,2021
HSBC Bank App,0.09,53.73,12,2021
ICICI Bank Apps,31.99,8921.76,12,2021
IDBI Bank App,0.02,11.34,12,2021
